name,iata,icao
Embraer Legacy 450,None,E545
Embraer Legacy 600,Er3,E35L
Embraer Phenom 100,Ep1,E50P
Embraer Phenom 300,Ep3,E55P
Embraer Rj135,Er3,E135
Embraer Rj140,Erd,E135
Embraer Rj145,Er4,E145
Fairchild Dornier 328Jet,Frj,J328
Fairchild Dornier Do.228,D28,D228
Fairchild Dornier Do.328,D38,D328
Fokker 100,100,F100
Fokker 50,F50,F50
Fokker 70,F70,F70
Fokker F27 Friendship,F27,F27
Fokker F28 Fellowship,F21,F28
Gulfstream Aerospace G-159 Gulfstream I,Grs,G159
Gulfstream G280,Gr3,G280
Gulfstream G650,Gj6,Glf6
Gulfstream Iv,Gj4,Glf4
Gulfstream V,Gj5,Glf5
Gulfstream/Rockwell (Aero) Commander,Acp,Ac68
Gulfstream/Rockwell (Aero) Turbo Commander,Act,Ac90
Harbin Yunshuji Y12,Yn2,Y12
Hawker Siddeley Hs 748,Hs7,A748
Ilyushin Il114,I14,I114
Ilyushin Il18,Il8,Il18
Ilyushin Il62,Il6,Il62
Ilyushin Il76,Il7,Il76
Ilyushin Il86,Ilw,Il86
Ilyushin Il96,I93,Il96
Learjet 35,Lrj,Lj35
Learjet 60,Lrj,Lj60
Lockheed L-1011 Tristar,L10,L101
Lockheed L-1049 Super Constellation,L49,Coni
Lockheed L-182 / 282 / 382 (L-100) Hercules,Loh,C130
Lockheed L-188 Electra,Loe,L188
Mcdonnell Douglas Md-11,M11,Md11
Mcdonnell Douglas Md-81,M81,Md81
Mcdonnell Douglas Md-82,M82,Md82
Mcdonnell Douglas Md-83,M83,Md83
Mcdonnell Douglas Md-87,M87,Md87
Mcdonnell Douglas Md-88,M88,Md88
Mcdonnell Douglas Md-90,M90,Md90
Namc Ys-11,Ys1,Ys11
Partenavia P.68,Pn6,P68
Pilatus Britten-Norman Bn-2A Mk Iii Trislander,Bnt,Tris
Pilatus Britten-Norman Bn-2A/B Islander,Bni,Bn2P
Pilatus Pc-12,Pl2,Pc12
Pilatus Pc-6 Turbo Porter,Pl6,Pc6T
Piper Pa-28 (Above 200 Hp),None,P28B
Piper Pa-28 (Up To 180 Hp),None,P28A
Piper Pa-31 Navajo,Pa2,Pa31
Piper Pa-44 Seminole,None,Pa44
Piper Pa-46,Pag,Pa46
Saab 2000,S20,Sb20
Saab Sf340A/B,Sf3,Sf34
Shorts Sc-5 Belfast,Shb,Belf
Shorts Sc-7 Skyvan,Shs,Sc7
Shorts Sd.330,Sh3,Sh33
Shorts Sd.360,Sh6,Sh36
Sikorsky S-58T,S58,S58T
Sikorsky S-61,S61,S61
Sikorsky S-76,S76,S76
Sikorsky S-92,S92,S92
Sukhoi Superjet 100-95,Su9,Su95
Tupolev Tu-134,Tu3,T134
Tupolev Tu-144,None,T144
Tupolev Tu-154,Tu5,T154
Tupolev Tu-204,T20,T204
Yakovlev Yak-40,Yk4,Yk40
Yakovlev Yak-42,Yk2,Yk42
